Article,Vedette,Type vedette,Candidat,INSEE,Définition,
DT11-10842,"Presbytère (Le),",écart,hameau de Buc,non,"
écart du hameau de Buc, église et cimetière, commune de Belcastel-et-Buc.",
DT11-13556,"Sou (Le),",rivière,hameau de Carcassès,non,"
rivière, prend sa source au hameau de Carcassès, commune de Laroque-de-Fa, arrose Termes et se jette dans l’Orbieu, en amont de Durfort.",
DT11-00916,"Bélissens,",partie,hameau de Carcassonne,11069,"
partie de la terre et seigneurie d’Herminis, hameau de Carcassonne.",
DT11-02394,"Capélet,","ferme, écart",hameau de Grèzes,non,"
ferme, écart du hameau de Grèzes, commune de Carcassonne.",
DT11-13205,"Sallèles,",écart,hameau de Grèzes,non,"
écart du hameau de Grèzes, commune de Carcassonne.",
DT11-12092,"Saint-Clément,","ferme, ancienne église, aujourd’hui masure",hameau de Jonquières,non,"
ferme, ancienne église, aujourd’hui masure, au midi du hameau de Jonquières, commune de Mayronnes ; titre d’un prieuré uni à l’abbaye de Lagrasse et comprenant les hameaux de Jonquières-Basses et de Jonquières-Hautes.",
DT11-11958,"Saint-André,",chapelle rurale,hameau de la Grave,non,"
chapelle rurale, au hameau de la Grave, commune d’Auriac.",
DT11-08705,"Moulin-Bas (Le),",moulin ruiné,hameau de la Sale,non,"
moulin ruiné, sur le Rieutort, sous le hameau de la Sale, commune de Labastide-Esparbairenque.",
DT11-08485,"Moulin (Le),",moulin ruiné,hameau de Lapeyre,non,"
moulin ruiné, au hameau de Lapeyre, commune de Belvis.",
DT11-08493,"Moulin (Le),",usine,hameau de Lasserre,non,"
usine sur le ruisseau de Brézilhou, au hameau de Lasserre, commune de Brenac.",
DT11-05918,"Guinguette (La),",écart,hameau de Maquens,non,"
écart du hameau de Maquens, commune de Carcassonne.",
DT11-06196,"Jardin-de-Roux (Le),",écart,hameau de Maquens,non,"
écart du hameau de Maquens, commune de Carcassonne.",
DT11-08636,"Moulin-à-Vent (Le),",moulin,hameau de Marmorières,non,"
moulin, commune de Limousis, hameau de Marmorières.",
DT11-00699,"Barry (Le),",quartier,hameau de Montredon,non,"
quartier du hameau de Montredon, commune de Carcassonne.",
DT11-06828,"Laurens,",ruisseau,hameau des Laurens,non,"
ruisseau qui prend sa source au hameau des Laurens, commune des Martys, et se jette dans le Linoubre, et par lui dans l’Arnette et le Tarn.",
DT11-12302,"Sainte-Marie,",quartier,hameau du Caunil,non,"
ancienne chapelle ruinée ; quartier du hameau du Caunil, commune de Salvezines.",
DT11-04694,"Festes-et-Saint-André,",commune,"hameaux de Festes, de Saint-André et de Besse",non,"
commune, canton de Limoux, formée des hameaux de Festes, de Saint-André et de Besse.",
DT11-12092,"Saint-Clément,",titre d’un prieuré,hameaux de Jonquières-Basses et de Jonquières-Hautes,non,"
ferme, ancienne église, aujourd’hui masure, au midi du hameau de Jonquières, commune de Mayronnes ; titre d’un prieuré uni à l’abbaye de Lagrasse et comprenant les hameaux de Jonquières-Basses et de Jonquières-Hautes.",
DT11-06810,"Lauraguais (Le),",petite contrée,Haut-Languedoc,non,"
petite contrée du Haut-Languedoc, comprise pour une partie dans le N.-O. du département de l’Aude, et pour l’autre partie dans le département de la Haute-Garonne ; elle tire son nom du lieu de Laurac.",
DT11-08161,"Montagne-Noire,",partie,Haute-Garonne,non,"
partie de la grande chaîne des Cévennes, qui sépare, au Nord, le département de l’Aude de ceux de la Haute-Garonne, du Tarn et de l’Hérault.",
DT11-08161,"Montagne-Noire,",partie,Hérault,non,"
partie de la grande chaîne des Cévennes, qui sépare, au Nord, le département de l’Aude de ceux de la Haute-Garonne, du Tarn et de l’Hérault.",
DT11-05020,"Forest (Le),",subdivision,Hers,non,"
subdivision 
du pagus Tolosanus, limitée au Nord par la Vixiège et la Piège ; à l’Est par le Razès proprement dit ; à l’Ouest par l’Hers ; au Sud par l’Olmez et la viguerie de Queille.",
DT11-06452,"Labastide-Vieille,",ancienne propriété,hôpital de Limoux,non,"
ferme, commune d’Alaigne ; ancienne propriété de l’hôpital de Limoux.",
DT11-06603,"Lambert,",ancienne propriété,hôpital de Limoux,non,"
ferme, commune de Saint-Polycarpe ; ancienne propriété de l’abbaye de Saint-Polycarpe, puis de l’hôpital de Limoux.",
DT11-08101,"Molée,",ancienne propriété,hôpital de Limoux,non,"
ferme, commune de Routier ; ancienne propriété de l’hôpital de Limoux.",
DT11-01282,"Borde-Basse (La),",ancienne propriété,hôpital de Mirepoix,non,"
ferme, commune de Caudeval, 1781 (c. dioc. Mirep.) ; ancienne propriété de l’hôpital de Mirepoix, an iii
 (arch. Aude, Q, distr. de Limoux).",
DT11-02112,"Cammas (Le),",ancienne propriété,hôpital de Mirepoix,non,"
ferme, commune de Caudeval ; ancienne propriété de l’hôpital de Mirepoix.",
DT11-03553,"Coumefère,",ancienne propriété,hôpital de Mirepoix,non,"
ferme, commune de Caudeval ; ancienne propriété de l’hôpital de Mirepoix.",
DT11-09237,"Notre-Dame-de-Raphanel,",ancienne chapellenie,Hôpital général de Narbonne,11262,"
ancienne chapellenie, fondée dans l’Hôpital général de Narbonne.",
DT11-14061,"Triby (Le),",col,Horte,non,"
col, entre le Picoul de la Gardie et le Sarrat de la Horte, commune d’Aunat.",
DT11-12688,"Saint-Louis,",chapelle,Hôtel-de-Ville,non,"
chapelle de l’Hôtel-de-Ville, construite en 1651, commune de Carcassonne 
(Mah., VI, 2e p., p. 365).",
DT11-07234,"Madeleine (La),",ancienne maladrerie,Hôtel-Dieu de Carcassonne,non,"
chapelle rurale, commune de Pezens ; ancienne maladrerie unie en 1695 à l’Hôtel-Dieu de Carcassonne.",
DT11-03777,"Croix-de-la-Pendue (La),",croix,Huguenots,non,"
croix sur le chemin dit des Huguenots, commune de Cumiès, à la limite des communes de Montauriol et du Mas-Saintes-Puelles.",
DT11-09174,"Notre-Dame-de-Cauquenne,",ancien monastère,île de Sainte-Lucie,non,"traces de l’ancien monastère de Bénédictins, établi au temps carolingien et uni plus tard à l’abbaye de Lagrasse, dans l’île de Sainte-Lucie, commune de la Nouvelle.",
DT11-14008,"Trausse,",anciennes salines,île del Lec,non,"
localité disparue, commune de Narbonne ; anciennes salines entre Baliste et l’île del Lec (la Clape).",
DT11-05305,"Galinat,",ferme,île Saint-Martin,non,"
ferme, commune de Gruissan, dans l’île Saint-Martin, 
   xviii
   e siècle (c. de Cass.).",
DT11-05318,"Gamarre,",étang,île Saint-Martin,non,"
étang dans l’île Saint-Martin, commune de Gruissan.",
DT11-00262,"l’Ardeillon,",ancienne île,île Sainte-Lucie,non,"
ancienne île, pli formé dans l’étang de Bages et de Sigean par l’ancienne Robine, au N.-O. de l’île Sainte-Lucie.",
DT11-04340,"Étangs (Canal des),",ancien débouché,île Sainte-Lucie,non,"
ancien débouché du canal de la Robine dans l’étang de Sigean, au N.-O. de l’île Sainte-Lucie, commune de la Nouvelle.",
DT11-03082,"Cimetière-Perdu (Le),","ancien cimetière, aujourd’hui tènement rural",Janate,non,"
ancien cimetière, aujourd’hui tènement rural, entre la Janate et Cousse, au terroir de Saint-Laurent, commune de Montferrand.",
DT11-02954,"« Cedros »,",station,Jérusalem,non,"
station marquée sur l’itinéraire de Bordeaux à Jérusalem, à 8 milles à l’O. de Carcassonne.",
DT11-04108,"« Elusio »,",ancienne station,Jérusalem,non,"
ancienne station placée, par l’Itinéraire de Bordeaux à Jérusalem, à 29 milles de Toulouse et à 33 milles de Carcassonne, en plusieurs distances particulières.",
DT11-13552,"« Sostomagus »,",ancien relais,Jérusalem,non,"
ancien relais sur la route de Bordeaux à Jérusalem, à 38 milles de Toulouse, et à 24 milles de Carcassonne.",
DT11-14305,"Val-de-Daigne (La),",portion,Labastide,non,"
portion du pagus Carcassonensis qui comprenait les localités suivantes : Caunettes, Rieux, Taurize, Serviès, Villetritouls, Arquettes, Labastide, le Villa, et les châteaux de Trèbes et de Faviès.",
DT11-06804,"Lauquette (La),",rivière,Labat,non,"
rivière, prend sa source à Labat, commune de Fajac-en-Val, arrose le Mas-des-Cours, Villefloure et Ladern, où il se joint au Lauquet.",
DT11-01073,"Berre (La),",rivière,Lac,11379,"
rivière (36 kilomètres), prend sa source près de Quintillan, arrose Cascastel, Durban, Villeseque-des-Corbieres, Portel, le Lac, et se jette dans l’étang de Bages et de Sigean.",
DT11-07814,"Mazère (La),",ferme,Ladigne,non,"
ferme, commune de Limoux, chemin de Ladigne.",
DT11-00572,"Balmourène,",vallée,Lagagnoux,non,"
vallée du Lagagnoux, commune de Magrie.",
DT11-11389,"Rieu (Le),",cours,Lagagnoux,non,"
cours inférieur du Lagagnoux.",
DT11-01049,"Bernassonne (La),",maison de garde,Lampy,non,"
maison de garde, au Lampy, commune de Saissac.",
DT11-03052,"Chemin-Français,",route,Languedoc,non,"
route qui traversait le Languedoc depuis le Rhône jusqu’à Toulouse, et depuis Narbonne jusqu’au Roussillon.",
DT11-13330,"Sault (Pays de),",ancien territoire,Languedoc,non,"
ancien territoire situé entre le Languedoc et le comté de Foix, aujourd’hui au S.-O. du département de l’Aude.",
DT11-01538,"Boulzane (La),",rivière,Lapradelle,non,"
rivière, affluent de l’Agly, prend sa source dans l’Aude qu’il traverse pendant 18 kilomètres, arrose Montfort, Gincla, Salvezines, Puilaurens, Lapradelle et entre dans les Pyrénées-Orientales.",
DT11-12013,"Saint-Antoine,",ancienne église,Lassalle,non,"
ancienne commanderie ; ancienne église, entre le chemin du Courral et le chemin de Lassalle, commune de Montréal.",
DT11-00594,"Baraigne,",sénéchaussée,Lauraguais,non,"
commune, canton de Salles-sur-l’Hers ; église paroissiale dédiée à l’Assomption de la sainte Vierge ; le chapitre d’Alet y percevait les fruits décimaux ; sénéchaussée de Lauraguais.",
DT11-01728,"Bram,",sénéchaussée,Lauraguais,non,"
commune, canton de Fanjeaux ; église paroissiale dédiée à saint Julien et sainte Basilisse ; la prieure de Prouille présentait à la cure ; diocèse de Saint-Papoul ; sénéchaussée de Lauraguais.",
DT11-02596,"Cassés (Les),",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Étienne ; sénéchaussée de Lauraguais.",
DT11-02900,"Cazalrenoux,",sénéchaussée,Lauraguais,non,"
commune, canton de Fanjeaux ; église paroissiale dédiée à la sainte Vierge ; le monastère de Prouille en était seigneur en toute justice ; sénéchaussée de Lauraguais.",
DT11-03903,"Cumiès,",sénéchaussée,Lauraguais,non,"
commune, canton de Salles-sur-l’Hers ; église paroissiale dédiée autrefois à saint Pierre, aujourd’hui à sainte 114Croix ; autrefois succursale au diocèse de Mirepoix, aujourd’hui annexe de Molleville ; sénéchaussée de Lauraguais.",
DT11-04615,"Fendeille,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Sud ; église paroissiale dédiée à saint Martin ; sénéchaussée de Lauraguais.",
DT11-06466,"Labécède-Lauraguais,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à l’Assomption de la sainte Vierge ; la cure était unie à la mense épiscopale de Saint-Papoul ; sénéchaussée de Lauraguais.",
DT11-06805,"Laurabuc,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Sud ; église paroissiale dédiée à saint Pierre et saint Paul ; la cure était unie à la mense épiscopale de Saint-Papoul ; sénéchaussée de Lauraguais.",
DT11-06811,"Lauraguaise (La),",routes,Lauraguais,non,"sert à désigner les diverses routes qui traversaient le Lauraguais, mettant en communication le diocèse de Toulouse avec ceux de Saint-Papoul, de Carcassonne et de Mirepoix.",
DT11-08308,"Montmaur,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Baudile ; sénéchaussée de Lauraguais.",
DT11-10029,"Pexiora,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Sud ; église paroissiale dédiée à saint Blaise ; ancienne commanderie de l’ordre de Malte, fondée vers 1100 ; le commandeur présentait à la cure ; sénéchaussée de Lauraguais.",
DT11-10122,"Peyrens,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Genès ; la cure était à la collation de l’abbé de Sorèze ; sénéchaussée de Lauraguais.",
DT11-10442,"Pomarède (La),",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Christophe ; la cure était unie à la mense épiscopale de Saint-Papoul ; sénéchaussée de Lauraguais.",
DT11-12814,"Saint-Martin-la-Lande,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Sud ; église paroissiale dédiée à saint Martin ; la cure était unie à la collégiale Saint-Michel de Castelnaudary ; sénéchaussée de Lauraguais.",
DT11-12851,"Saint-Michel-de-Lanès,",sénéchaussée,Lauraguais,non,"
commune, canton de Salles-sur-l’Hers ; église paroissiale dédiée à saint Michel ; sénéchaussée de Lauraguais.",
DT11-12874,"Saint-Papoul,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Papoul ; sénéchaussée de Lauraguais.",
DT11-12904,"Saint-Paulet,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Paul, ermite ; l’abbé de Sorèze présentait à la cure ; sénéchaussée de Lauraguais.",
DT11-13631,"Soupex,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Martin ; la cure était unie à l’abbaye de Sorèze (Tarn) ; sénéchaussée de Lauraguais.",
DT11-14054,"Tréville,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Pierre et saint Paul ; depuis 1318, la cure était unie à la collégiale Saint-Michel de Castelnaudary ; sénéchaussée de Lauraguais.",
DT11-14736,"Villeneuve-la-Comptal,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Sud ; église paroissiale dédiée à saint Pierre et saint Paul ; la cure, d’abord unie à l’abbaye d’Alet, fut unie depuis 1318 à la collégiale Saint-Michel de Castelnaudary ; sénéchaussée de Lauraguais.",
DT11-14770,"Villespy,",sénéchaussée,Lauraguais,non,"
commune, canton de Castelnaudary-Nord ; église paroissiale dédiée à saint Jean-Baptiste ; ancien château, résidence des évêques de Saint-Papoul, construit par Guillaume de Cardailhac (1329-1347) ; sénéchaussée de Lauraguais.",
DT11-01089,"de la Valette,",,Laval,non,"affluent de l’Aude (15 kilomètres), arrose Saint-Louis-de-Parahou, Saint-Julia-de-Bec et Laval (commune de Quillan), après avoir reçu le ruisseau de Saint-Ferréol.",
DT11-01506,"Bouisse,",chef-lieu,"lieux de Bouisse, Montjoi, Salagriffe",non,"
commune, canton de Mouthoumet ; église paroissiale dédiée à saint Saturnin ; chef-lieu d’une baronnie qui comprenait les lieux de Bouisse, Montjoi, Salagriffe et le col de Périé ; sénéchaussée de Limoux.",
DT11-02980,"Chalabre,",chef-lieu d’une baronnie,"lieux de Rivel, Chalabre, Sainte-Colombe, Sonnac, Labastide-de-Belmont et Canterate",non,"
chef-lieu de canton, arrondissement de Limoux ; église paroissiale dédiée à saint Pierre ; à l’intérieur de la ville, chapelle de secours sous le vocable de Notre-Dame ; chef-lieu de la Terre privilégiée ; chef-lieu d’une baronnie qui comprenait les lieux de Rivel, Chalabre, Sainte-Colombe, Sonnac, Labastide-de-Belmont et Canterate.",
DT11-04833,"Fontaine-de-Caxan,",source,Lignon,non,"
source du Lignon, terroir de la Loubatière, commune de Lacombe.",
DT11-01666,"Bousquet (Le),",lieu dit,Livière,non,"
lieu dit, en Livière, commune de Narbonne ; ancien fief du chapitre de Saint-Just.",
DT11-13714,"Tauran (Canal de),",ruisseau,Livière,non,"
ruisseau pour l’écoulement des eaux de Livière, commune de Narbonne.",
DT11-09331,"Orbieu (L’),",rivière,Luc,11210,"
rivière (71 kilomètres), affluent de l’Aude, rive droite ; prend sa source près de Fourtou ; arrose à droite Auriac, Mouthoumet, Lanet, Salsa, Vignevieille, Saint-Martin-des-Puits, Saint-Pierre-des-Champs, Lagrasse, Ribaute, Ferrals, Luc, Ornaisons, Nevian et Marcorignan ; à gauche : Albieres, Bouisse, Montjoy, Lairiere, Durfort, Camplong, Fabrezan, Lezignan, Cruscades et Raissac-d'Aude.",
